,question,answer,passage,generated_answer,new_answer
0,is the vice president the head of the senate,True,"As the Senate president, the vice president presides over its deliberations (or delegates this task to a member of the Senate), but is allowed to vote only when it is necessary to break a tie. While this vote-casting prerogative has been exercised chiefly on legislative issues, it has also been used to break ties on the election of Senate officers, as well as on the appointment of Senate committees. In this capacity, the vice president also presides over joint sessions of Congress.",true,"text: As the Senate president, the vice president presides over its deliberations (or delegates this task to a member of the Senate), but is allowed to vote only when it is necessary to break a tie. While this vote-casting prerogative has been exercised chiefly on legislative issues, it has also been used to break ties on the election of Senate officers, as well as on the appointment of Senate committees. In this capacity, the vice president also presides over joint sessions of Congress.
question: is the vice president the head of the senate
answer: 
True. The vice president presides over the Senate and is considered the president of the Senate. However, they only have the power to vote when necessary to break a tie."
1,can i get $1 000 bill from the bank,False,"The Federal Reserve began taking high-denomination currency out of circulation (destroying large bills received by banks) in 1969. As of May 30, 2009, only 336 $10,000 bills were known to exist; 342 remaining $5,000 bills; and 165,372 remaining $1,000 bills. Due to their rarity, collectors often pay considerably more than the face value of the bills to acquire them. Some are in museums in other parts of the world.",false,"text: The Federal Reserve began taking high-denomination currency out of circulation (destroying large bills received by banks) in 1969. As of May 30, 2009, only 336 $10,000 bills were known to exist; 342 remaining $5,000 bills; and 165,372 remaining $1,000 bills. Due to their rarity, collectors often pay considerably more than the face value of the bills to acquire them. Some are in museums in other parts of the world.
question: can i get $1 000 bill from the bank
answer: 
False.

The Federal Reserve no longer issues or accepts $1,000 bills. The text mentions that there are still some $1,000 bills in circulation, but it is emphasizing their rarity and collectible value, not their availability for use as currency."
2,were any civil war battles fought in florida,True,"On the outbreak of war, the Confederates seized many of the state's army camps, though the Union retained control of the main seaports. There was little fighting in Florida, the only major conflict being the Battle of Olustee near Lake City in February 1864. However, wartime conditions made it easier for slaves to escape, and many of them became useful informers to Union commanders. As southern morale suffered, deserters from both sides took refuge in Florida, often attacking Confederate units and looting farms. In May 1865, Federal control was re-established, slavery abolished, and the state governor John Milton shot himself, rather than submit to Union occupation.",true,"text: On the outbreak of war, the Confederates seized many of the state's army camps, though the Union retained control of the main seaports. There was little fighting in Florida, the only major conflict being the Battle of Olustee near Lake City in February 1864. However, wartime conditions made it easier for slaves to escape, and many of them became useful informers to Union commanders. As southern morale suffered, deserters from both sides took refuge in Florida, often attacking Confederate units and looting farms. In May 1865, Federal control was re-established, slavery abolished, and the state governor John Milton shot himself, rather than submit to Union occupation.
question: were any civil war battles fought in florida
answer: 

True. The Battle of Olustee near Lake City in February 1864 was the major conflict fought in Florida during the Civil War."
3,is a chipmunk the same as a ground squirrel,False,"The ground squirrels are members of the squirrel family of rodents (Sciuridae) which generally live on or in the ground, rather than trees. The term is most often used for the medium-sized ground squirrels, as the larger ones are more commonly known as marmots (genus Marmota) or prairie dogs, while the smaller and less bushy-tailed ground squirrels tend to be known as chipmunks. Together, they make up the ``marmot tribe'' of squirrels, Marmotini, and the large and mainly ground squirrel subfamily Xerinae, and containing six living genera. Well-known members of this largely Holarctic group are the marmots (Marmota), including the American groundhog, the chipmunks, the susliks (Spermophilus), and the prairie dogs (Cynomys). They are highly variable in size and habitus, but most are remarkably able to rise up on their hind legs and stand fully erect comfortably for prolonged periods. They also tend to be far more gregarious than other squirrels, and many live in colonies with complex social structures. Most Marmotini are rather short-tailed and large squirrels, and the alpine marmot (Marmota marmota) is the largest living member of the Sciuridae, at 53--73 cm in length and weighing 5--8 kg.",false,"text: The ground squirrels are members of the squirrel family of rodents (Sciuridae) which generally live on or in the ground, rather than trees. The term is most often used for the medium-sized ground squirrels, as the larger ones are more commonly known as marmots (genus Marmota) or prairie dogs, while the smaller and less bushy-tailed ground squirrels tend to be known as chipmunks. Together, they make up the ``marmot tribe'' of squirrels, Marmotini, and the large and mainly ground squirrel subfamily Xerinae, and containing six living genera. Well-known members of this largely Holarctic group are the marmots (Marmota), including the American groundhog, the chipmunks, the susliks (Spermophilus), and the prairie dogs (Cynomys). They are highly variable in size and habitus, but most are remarkably able to rise up on their hind legs and stand fully erect comfortably for prolonged periods. They also tend to be far more gregarious than other squirrels, and many live in colonies with complex social structures. Most Marmotini are rather short-tailed and large squirrels, and the alpine marmot (Marmota marmota) is the largest living member of the Sciuridae, at 53--73 cm in length and weighing 5--8 kg.
question: is a chipmunk the same as a ground squirrel
answer: 
False. Chipmunks are a type of ground squirrel, but not all ground squirrels are chipmunks. Chipmunks are smaller and have bushier tails than other ground squirrels, such as marmots and prairie dogs. The term ""ground squirrel"" refers to a larger group of rodents that live on or in the ground. Chipmunks, marmots, and prairie dogs are all members of the Marmotini tribe and the Xerinae subfamily within the Sciuridae family."
4,is russell brand singing in get him to the greek,True,"Kim Garner, the senior vice president of marketing and artist development at Universal Republic Records, said that Brand and Universal Pictures ``felt very strongly about doing something like this as opposed to a traditional soundtrack,'' and that they ``wanted to release it like we would an actual rock band's album.''",false,"text: Kim Garner, the senior vice president of marketing and artist development at Universal Republic Records, said that Brand and Universal Pictures ``felt very strongly about doing something like this as opposed to a traditional soundtrack,'' and that they ``wanted to release it like we would an actual rock band's album.''
question: is russell brand singing in get him to the greek
answer: 

False. Russell Brand acts in the movie, but he doesn't sing in it. The soundtrack is composed of various artists' songs."
5,is there goal line technology in the world cup,True,"Compared to similar technology in other sports, goal-line technology is a relatively recent addition to association football; its integration having been opposed by the sport's authorities. In July 2012, the International Football Association Board (IFAB) officially approved the use of goal line technology, amending the Laws of the Game to permit (but not require) its use. Due to its expense, goal-line technology is only used at the highest levels of the game. Goal-line technology is currently used in the top European domestic leagues, and at major international competitions such as the 2014 Men's, 2018 Men's and 2015 Women's FIFA World Cups.",true,"text: Compared to similar technology in other sports, goal-line technology is a relatively recent addition to association football; its integration having been opposed by the sport's authorities. In July 2012, the International Football Association Board (IFAB) officially approved the use of goal line technology, amending the Laws of the Game to permit (but not require) its use. Due to its expense, goal-line technology is only used at the highest levels of the game. Goal-line technology is currently used in the top European domestic leagues, and at major international competitions such as the 2014 Men's, 2018 Men's and 2015 Women's FIFA World Cups.
question: is there goal line technology in the world cup
answer: 

True."
6,is boss baby back in business on netflix,True,"The Boss Baby: Back in Business is an American computer-animated web television series produced by DreamWorks Animation that is a follow-up of the 2017 film The Boss Baby, loosely based on the book of the same name by Marla Frazee. The series premiered on Netflix on April 6, 2018.",true,"text: The Boss Baby: Back in Business is an American computer-animated web television series produced by DreamWorks Animation that is a follow-up of the 2017 film The Boss Baby, loosely based on the book of the same name by Marla Frazee. The series premiered on Netflix on April 6, 2018.
question: is boss baby back in business on netflix
answer: 

True."
7,are back ribs same as baby back ribs,True,"Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle. They have meat between the bones and on top of the bones, and are shorter, curved, and sometimes meatier than spare ribs. The rack is shorter at one end, due to the natural tapering of a pig's rib cage. The shortest bones are typically only about 3 in (7.6 cm) and the longest is usually about 6 in (15 cm), depending on the size of the hog. A pig side has 15 to 16 ribs (depending on the breed), but usually two or three are left on the shoulder when it is separated from the loin. So, a rack of back ribs contains a minimum of eight ribs (some may be trimmed if damaged), but can include up to 13 ribs, depending on how it has been prepared by the butcher. A typical commercial rack has 10--13 bones. If fewer than 10 bones are present, butchers call them ``cheater racks''.",false,"text: Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle. They have meat between the bones and on top of the bones, and are shorter, curved, and sometimes meatier than spare ribs. The rack is shorter at one end, due to the natural tapering of a pig's rib cage. The shortest bones are typically only about 3 in (7.6 cm) and the longest is usually about 6 in (15 cm), depending on the size of the hog. A pig side has 15 to 16 ribs (depending on the breed), but usually two or three are left on the shoulder when it is separated from the loin. So, a rack of back ribs contains a minimum of eight ribs (some may be trimmed if damaged), but can include up to 13 ribs, depending on how it has been prepared by the butcher. A typical commercial rack has 10--13 bones. If fewer than 10 bones are present, butchers call them ``cheater racks''.
question: are back ribs same as baby back ribs
answer: 
False.
Back ribs and baby back ribs are not the same. Back ribs are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle. Baby back ribs are a specific type of back ribs, which are shorter, curved, and sometimes meatier than regular back ribs. The name ""baby"" back ribs comes from their smaller size and tenderness compared to regular back ribs."
8,is the southern tip of south america cold,True,"The climate in the region is generally cool, owing to the southern latitude. There are no weather stations in the group of islands including Cape Horn; but a study in 1882--1883, found an annual rainfall of 1,357 millimetres (53.4 inches), with an average annual temperature of 5.2 °C (41.4 °F). Winds were reported to average 30 kilometres per hour (8.33 m/s; 18.64 mph), (5 Bf), with squalls of over 100 kilometres per hour (27.78 m/s; 62.14 mph), (10 Bf) occurring in all seasons. There are 278 days of rainfall (70 days snow) and 2,000 millimetres (79 inches) of annual rainfall",true,"text: The climate in the region is generally cool, owing to the southern latitude. There are no weather stations in the group of islands including Cape Horn; but a study in 1882--1883, found an annual rainfall of 1,357 millimetres (53.4 inches), with an average annual temperature of 5.2 °C (41.4 °F). Winds were reported to average 30 kilometres per hour (8.33 m/s; 18.64 mph), (5 Bf), with squalls of over 100 kilometres per hour (27.78 m/s; 62.14 mph), (10 Bf) occurring in all seasons. There are 278 days of rainfall (70 days snow) and 2,000 millimetres (79 inches) of annual rainfall
question: is the southern tip of south america cold
answer: 

True. The average annual temperature is 5.2 °C (41.4 °F)."
9,do away goals count in the league playoffs,True,"The away goals rule is applied in many football competitions that involve two-leg fixtures, including the knockout stages of the UEFA Champions League, UEFA Europa League, CAF Champions League, CAF Confederation Cup and any two-legged playoffs in qualification for the FIFA World Cup or European Championships. Major League Soccer in the U.S. and Canada introduced the away goals rule in the MLS Cup Playoffs, in which the conference semifinals and finals (the quarterfinals and semifinals of the overall tournament) are two-legged, for the first time in 2014. The rule was first applied in this competition when the Seattle Sounders defeated FC Dallas in the 2014 Western Conference Semifinals.",true,"text: The away goals rule is applied in many football competitions that involve two-leg fixtures, including the knockout stages of the UEFA Champions League, UEFA Europa League, CAF Champions League, CAF Confederation Cup and any two-legged playoffs in qualification for the FIFA World Cup or European Championships. Major League Soccer in the U.S. and Canada introduced the away goals rule in the MLS Cup Playoffs, in which the conference semifinals and finals (the quarterfinals and semifinals of the overall tournament) are two-legged, for the first time in 2014. The rule was first applied in this competition when the Seattle Sounders defeated FC Dallas in the 2014 Western Conference Semifinals.
question: do away goals count in the league playoffs
answer: 

True. The text states that the away goals rule is applied in the MLS Cup Playoffs."
