ID,pred_answer
0,The country with the higher percentage of Tablet Pageviews in June 2014 is Russia.
1,March 2011
2,Canada's capability gap score is 35.
3,April 21st
4,There are 6 stages in the process of ossification of bones that originate as hyaline cartilage.
5,25
6,"The country that spent the most in mobile display ads in the year 79300 Romanian use Twitter, according to IAB Europe AdEx Benchmark (2013) is Turkey, with a total online display ad spend of €7.6 million."
7,"The person who says resilient behaviors are active behavior intended to retain the system identity is Vincenzo De Florio, INRIA, 14 Nov. 2014."
8,Vincenzo De Florio is affiliated with the University of Antwerp and is a researcher at the Mosaic / U Antwerp research group.
9,The Trading Operating Profit in 2011 is 12.5 billion.
10,The advertises are perceived quality.
11,Alcon
12,Mywanderingstory.com
13,The image does not provide the exact number of subscribers for the YouTube channel associated with the 'Think & Ask' film.
14,"Calculus is the study of change, with the basic focus being on the rate of change and accumulation. It is divided into two categories: differential calculus (rate of change) and integral calculus (accumulation)."
15,"The economic voltage level for efficient transmission when the power transfer requirement is 3500 MW and Distance is 500 km is 66,110,132,220,400 kV."
16,Benjamin Franklin
17,"The digital revolution has decreased the cost of financial transactions, making it more accessible and affordable for customers."
18,There are five stages of grief.
19,The lowest score an alkaline can have on the pH meter scale is 7.0 pH.
20,Republic Act No. 1061
21,The image provided does not contain any information about DiABETES UK's slogan.
22,"The main objectives of advertising are to persuade, influence, and inform the audience."
23,"Based on the image provided, it is not possible to determine which app has more users between WhatsApp and the other Asian competitor besides WeChat. The image only shows the logos for WhatsApp, WeChat, and Line, but does not provide any information about user numbers or market share. To answer this question, additional data or research would be required."
24,"Dengue is a mosquito-borne viral disease that can cause severe flu-like symptoms, including fever, headache, and joint pain. It is transmitted by mosquitoes and can lead to a wide range of complications, including hemorrhagic fever and death."
25,"The image shows a list of social marketing/reputation management strategy categories, but it does not provide specific information about reputation websites."
26,The image does not provide the exact cost of iShower2 in dollars on the iDevices website.
27,The Unilever Centre for Molecular Science Informatics is affiliated with the University of Cambridge.
28,Albert Wang is a Senior Software Developer at C#.
29,"In the diagram, DEVOPS is connected to ""Your Organization"" and ""People and Environment."""
30,HSPA Rel-6 is CDMA-based.
31,Pop Cap
32,The Model updates the Controller.
33,"The Hadoop Distro for Apache Storm is a distribution of Apache Storm that includes the Hadoop ecosystem components, such as HDFS, YARN, and HBase, along with Apache Storm. It is designed to provide a complete, integrated platform for processing and analyzing large amounts of data."
34,Social objectives
35,"The top four brewers are Heineken, Bud Light, Snow (Budweiser), and Corona."
36,"Using less salt in bread can affect its texture by reducing the bread's ability to hold moisture, which can lead to a drier, crumbly texture. Salt also plays a role in the bread's crumb structure and can affect the bread's overall flavor and taste."
37,Baloch belongs to the Baloch ethnolinguistic group.
38,"The image shows a slide with a list of performance products, which includes:

1. Oil & Gas
2. Chemicals
3. Customized Products
4. Functionalized Materials & Solutions
5. Exploration & Production of Oil and Gas

These are five types of performance products as listed on the slide."
39,"The title of the presentation is ""Bell Labs Innovating at the Speed of Ideas."""
40,First-line Managers
41,"The catchphrase for the film Speed is ""Get ready for rush hour."""
42,"Sairee Chahal is located in Pune, India."
43,"The image shows a framework with four levels of talent acquisition and recruiting:

1. Talent Strategy & Business Alignment
2. Workforce Planning & Capability & Competency Management
3. Leadership Development & Succession Management
4. Total Rewards & Analytics"
44,60%
45,The most common and complex process in OpenStack is the interaction of most of OpenStack components.
46,The two types of connective tissue proper are specialized connective tissues and embryonic connective tissue.
47,"The flow chart of the penicillin fermentation is from (From Swartz, 1979)."
48,"The image shows a screenshot of a website hosted by the ICM and CSIC, which is likely related to the role of citizen science in environmental management. The website appears to be a platform for tracking and analyzing environmental data, possibly related to water quality or other environmental metrics. The specific details of the website are not visible in the image."
49,"The three areas of the other component of SWOT Analysis along with External Analysis are Culture, Competencies, and Composition."
50,The image shows two types of loop learning: Single Loop Learning and Double Loop Learning.
51,"Yes, there are more drugs that are primarily for Hepatitis B or C."
52,"The slope of enlightenment comes between the stages of ""Technology Trigger"" and ""Chasm""."
53,"A paper panel is a type of display or presentation material that is made from paper and is designed to be used in conjunction with a projector or other display device. It is typically used for educational or business presentations, and can be used to display text, images, or other visual content."
54,"25,000"
55,9%
56,"The image shows the following options for sharing a contact:

1. Dialog Boxes: Takes feedback from the user.
2. Pop-ups: Provides user with various Share options.
3. Alert Views: Alerts the user in advance about possible outcomes.
4. Toasts: Provides the user with feedback about the completion of an action."
57,"The first two advantages of the Triaxial Shear Test over DTS are that it is developed by Casagrande in an attempt to overcome some of the serious disadvantages of the direct shear test, and it allows for more versatile testing."
58,The image does not provide specific information about the number of major languages in the country that has control over mainland China and the largely self-governing territories of Hong Kong (since 1997) and Macau (since 1999).
59,Inverter
60,@jenninita
61,The image does not provide information about the difference in hours spent online per day between used-car buyers and new car buyers.
62,"The image does not provide specific information about the country or its ethnolinguistic groups. To answer the user's question, I would need more context or details about the country in question."
63,"The recommendation is given to support and refine the vision of a person who falls under the category of ""The Shape of the Funnel Matters."""
64,"The media with the most sway on a buyer's consideration list is TV, as indicated by the image."
65,The market for wearables is larger than the market for personal computers.
66,The image does not provide the necessary data to determine the percentage point difference in wife unsatisfaction between circumcised and uncircumcised respondents.
67,3 days off
68,15-25%
69,"The two chat/real-time dealership community social networks visible in the image are ""Feedburner"" and ""AccuWeather""."
70,"Profit per farmer p.a. increased from 2005 to the year in which total production p.a. kg/farmer was 1,192."
71,Thermoplastic
72,33%
73,"Based on the image provided, WhatsApp has more users than LINE."
74,The Core Storm API that supports all three reliability models and Spark Streaming is Trident.
75,Penicillin
76,2015
77,Firm leadership
78,AFTA was incorporated first.
79,The Net Promoter Score (NPS) is calculated by subtracting the percentage of detractors from the percentage of promoters. The formula is: NPS = Promoters - Detractors.
80,From H to E has a higher affinity value of 0.3.
81,HBase TDG was published in 2011.
82,The image does not provide specific information about the contrast percentage of the All-New Kindle.
83,"The image shows logos for Google Analytics, Parse Analytics, KISSmetrics, and Mixpanel, which are examples of tools that can be used for quantitative success metrics."
84,The heart of a car is the engine.
85,"The four symptoms of the critical phase of dengue, as shown in the image, are:

1. Headache
2. Muscle and joint pain
3. Vomiting
4. Rash"
86,The Vice-President Marketing works under the Head of Export.
87,"The ""Xamarin brings development time through the use of code-sharing"" layer of the shared code links with cloud services."
88,"ASEAN is an acronym for the Association of Southeast Asian Nations, which is a regional intergovernmental organization comprising ten countries in Southeast Asia."
89,Core Storm (Spouts and Bolts)
90,"The most Facebook fans of the Twitter user who had 123,762 Impressions on Thursday, October 2, 2014 saw their posts on Friday, October 3, 2014."
91,"The image shows a slide from a presentation about big data architecture, specifically discussing the use of SQL and NoSQL databases. While the slide does not explicitly list three examples of new data structures, it does mention the use of SQL and NoSQL databases, which are examples of new data structures that have emerged in recent years to handle the increasing volume and variety of data. SQL databases, such as relational databases, use a structured query language to store and retrieve data, while NoSQL databases, such as document-based, key-value, and graph databases, use alternative data models that can handle unstructured and semi-structured data."
92,Joe Pulizzi is a content marketing expert and the founder of the Content Marketing Institute.
93,71%
94,"The two qualities of a business leader mentioned in the image are ""Focused on Key Success Factors"" and ""Detailed Planning."""
95,"268,950 units"
96,"The image does not provide information on the difference in hours spent online per day between used-car buyers and those who half or more go online to read reviews, compare specifications or prices, locate dealers or learn about makes."
97,Jenny Wade
98,"The image shows a chart with statistics on the influence of TV media on buyers' decision to purchase cars. According to the chart, 33% of buyers consider TV as a strong influence on their decision, while 67% consider it a weak influence."
99,Decreasing
100,"To reduce heat losses through the floor, you can consider the following strategies:

1. Insulate the floor: Use insulating materials such as underfloor insulation, radiant barrier, or reflective insulation to reduce heat transfer between the heated space and the cold ground.

2. Seal gaps and cracks: Ensure that there are no gaps or cracks around the base of the walls, around pipes, or around the edges of the floor. These gaps can allow cold air to enter and warm air to escape, leading to heat loss.

3. Use a thermal break: A thermal break is a layer of insulation that separates the heated space from the cold ground. This can be achieved by using a layer of insulation between the subfloor and the floor covering.

4. Choose the right floor covering: Some floor coverings are more insulating than others. For example, carpets can provide insulation, while hardwood floors can be less insulating.

5. Use a radiant heating system: A radiant heating system can be more efficient than forced air heating systems, as it heats the floor directly, reducing heat loss through the floor.

6. Regularly maintain the heating"
101,There are 8 parts to a Talent Management System in the image.
102,"In the case of a severe obstruction, the person may not be able to speak, may nod, and may have difficulty breathing."
103,51%
104,APIs create a way for different software applications to communicate with each other.
105,The Internet of Things market was smaller.
106,"The image shows a slide with a red X through the word ""alkaline"" and a green checkmark next to the word ""acidic."" It also lists ""Alkaline error,"" ""Acidic error,"" ""Due to reactivity of reference electrolyte,"" and ""Error due to temperature variation."" These terms are related to the determination of pH, which is a measure of acidity or alkalinity. The slide is likely part of a presentation on the topic of pH determination, and the terms listed are factors that can affect the accuracy of pH measurements."
107,The least used screen size for web browsing for the OS with 78% of the smartphone device share globally is 7 inches.
108,"The company where James Gwetzman is Vice President, Asia/Pacific, appeared first."
109,"The image shows a slide with the title ""NERVOUS TISSUE: SUPPORT CELLS"" and a list of bullet points. The bullet points mention ""Oligodendrocytes,"" ""Wrap around nerve fibers in the central nervous system,"" and ""Produce myelin sheaths."" However, the image does not depict a sensory receptor."
110,Electricity
111,The Dommuseum Salzburg opened in May 2014.
